epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,778.058,0.89326,2.23815,1.00275,0.83805,0.09457,0.09206,0.07619,0.65766,1.24337,0.87417,0.0033324,0.0033324,0.0033324
2,1538.54,0.81737,1.59891,0.9651,0.69798,0.11844,0.11279,0.0947,0.62841,1.09718,0.86872,0.00622579,0.00622579,0.00622579
3,2288.44,0.81767,1.41824,0.96878,0.57122,0.14525,0.12312,0.10422,0.61947,1.0239,0.86896,0.00867919,0.00867919,0.00867919
4,3036.86,0.79045,1.27994,0.96245,0.51015,0.16944,0.14524,0.12584,0.5838,0.92328,0.85863,0.00802,0.00802,0.00802
5,3787.23,0.74963,1.17862,0.94859,0.53643,0.18863,0.16393,0.14376,0.56139,0.84697,0.84993,0.00736,0.00736,0.00736
6,4530.02,0.66416,1.00331,0.91366,0.52307,0.22379,0.18572,0.16399,0.54664,0.79666,0.84621,0.0067,0.0067,0.0067
7,5270.47,0.64333,0.94054,0.90509,0.57278,0.23308,0.21714,0.19359,0.53285,0.74925,0.84014,0.00604,0.00604,0.00604
8,6011.7,0.62553,0.894,0.8983,0.47594,0.25887,0.24157,0.21729,0.52087,0.71133,0.83647,0.00538,0.00538,0.00538
9,6753.53,0.61094,0.85509,0.89344,0.48114,0.32953,0.28598,0.2588,0.51363,0.68037,0.83324,0.00472,0.00472,0.00472
10,7493.94,0.59755,0.81437,0.88856,0.49495,0.3329,0.31038,0.2824,0.50526,0.65042,0.82928,0.00406,0.00406,0.00406
11,8235.02,0.5847,0.78086,0.88338,0.51534,0.34217,0.33384,0.30406,0.49959,0.62734,0.82673,0.0034,0.0034,0.0034
12,8975.33,0.57339,0.7501,0.87932,0.47529,0.38246,0.34961,0.31983,0.49446,0.60891,0.82473,0.00274,0.00274,0.00274
13,9714.28,0.56057,0.71549,0.87416,0.5076,0.37605,0.36095,0.33105,0.4905,0.59268,0.82278,0.00208,0.00208,0.00208
14,10454.7,0.54791,0.68218,0.86994,0.52645,0.38113,0.37264,0.34195,0.48782,0.57972,0.82141,0.00142,0.00142,0.00142
15,11192.5,0.53718,0.65179,0.86662,0.52596,0.39519,0.37765,0.34644,0.48612,0.57056,0.82035,0.00076,0.00076,0.00076
