epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8341,1.80576,2.82915,1.41857,0.71554,0.21754,0.25957,0.15944,1.21827,1.36906,1.0407,0.000301106,0.000301106,0.000301106
2,95.2425,1.44316,1.50056,1.16532,0.38283,0.48307,0.45979,0.3126,1.11369,1.0175,1.03762,0.000592145,0.000592145,0.000592145
3,139.288,1.32053,1.23303,1.11504,0.43439,0.68607,0.58076,0.423,1.03877,0.82087,1.02112,0.000871185,0.000871185,0.000871185
4,184.264,1.23107,1.07043,1.0786,0.67296,0.57778,0.5498,0.38812,1.0505,0.83916,1.03276,0.000855005,0.000855005,0.000855005
5,228.243,1.19317,0.96387,1.05388,0.48314,0.69154,0.59226,0.43402,1.00921,0.83364,1.00767,0.000837007,0.000837007,0.000837007
6,272.705,1.17208,0.90614,1.03918,0.53154,0.65667,0.62586,0.47382,0.97454,0.71832,0.98472,0.000819009,0.000819009,0.000819009
7,317.033,1.1109,0.82466,1.01898,0.8441,0.58923,0.7326,0.52671,0.98371,0.74728,0.98294,0.000801011,0.000801011,0.000801011
8,361.04,1.09078,0.77922,1.00854,0.5316,0.64029,0.55335,0.39401,1.02129,0.76934,1.00532,0.000783013,0.000783013,0.000783013
9,405.835,1.07151,0.74277,1.00324,0.45606,0.74442,0.63742,0.45667,0.9887,0.7899,0.9878,0.000765014,0.000765014,0.000765014
10,449.388,1.04672,0.7204,0.98893,0.60209,0.59916,0.67341,0.48038,0.98965,0.73243,0.98435,0.000747016,0.000747016,0.000747016
11,494.145,1.02864,0.6856,0.99024,0.47022,0.67193,0.68045,0.49374,1.01043,0.72602,0.98201,0.000729018,0.000729018,0.000729018
12,538.127,1.00924,0.66273,0.97762,0.50334,0.69907,0.59215,0.44168,0.99188,0.72062,0.99153,0.00071102,0.00071102,0.00071102
13,582.2,0.98773,0.64269,0.97,0.79052,0.6279,0.69788,0.50824,1.09757,0.74919,1.00139,0.000693022,0.000693022,0.000693022
14,626.708,0.97172,0.63205,0.96253,0.77651,0.63031,0.68983,0.49452,1.00076,0.70988,0.98854,0.000675023,0.000675023,0.000675023
15,670.504,0.96095,0.62531,0.96025,0.66259,0.60172,0.68199,0.48989,0.99107,0.70854,0.98188,0.000657025,0.000657025,0.000657025
16,714.866,0.93023,0.59843,0.95162,0.86001,0.63088,0.69542,0.49227,1.03576,0.72041,1.00021,0.000639027,0.000639027,0.000639027
17,758.392,0.94423,0.5903,0.9539,0.63326,0.66346,0.58949,0.43735,1.00797,0.73038,0.9881,0.000621029,0.000621029,0.000621029
18,803.63,0.92784,0.58346,0.94806,0.68429,0.64661,0.71355,0.51907,1.02711,0.73015,0.99684,0.000603031,0.000603031,0.000603031
19,848.092,0.9004,0.56648,0.93592,0.56944,0.75196,0.61851,0.46502,1.04701,0.70823,0.99666,0.000585032,0.000585032,0.000585032
20,892.863,0.91157,0.56386,0.94026,0.48889,0.72542,0.61366,0.4543,1.05143,0.71639,0.99375,0.000567034,0.000567034,0.000567034
21,937.184,0.89263,0.55235,0.93776,0.47259,0.69973,0.60527,0.44244,1.02927,0.69688,0.99677,0.000549036,0.000549036,0.000549036
22,981.038,0.87723,0.54248,0.93547,0.64558,0.62303,0.6009,0.43704,1.02669,0.70663,1.00723,0.000531038,0.000531038,0.000531038
23,1026.17,0.88025,0.54396,0.93437,0.49657,0.70136,0.59894,0.44514,1.02244,0.71988,1.00399,0.00051304,0.00051304,0.00051304
