epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,771.756,0.89326,2.23815,1.00275,0.83805,0.09457,0.09206,0.07619,0.65766,1.24337,0.87417,0.0033324,0.0033324,0.0033324
2,1528.44,0.8205,1.60176,0.96587,0.58306,0.12756,0.1188,0.10036,0.62788,1.09354,0.86978,0.00653375,0.00653375,0.00653375
3,2276.71,0.82604,1.42395,0.97243,0.64777,0.13433,0.1212,0.10282,0.62282,1.033,0.87388,0.0096031,0.0096031,0.0096031
4,3020.89,0.80047,1.28974,0.96721,0.5414,0.16806,0.14682,0.1275,0.58874,0.92601,0.86127,0.009406,0.009406,0.009406
5,3770.49,0.7605,1.19435,0.95376,0.57602,0.18521,0.16232,0.14197,0.56305,0.85469,0.85331,0.009208,0.009208,0.009208
6,4514.83,0.73592,1.1382,0.94568,0.56071,0.18922,0.17934,0.15879,0.55036,0.81073,0.84864,0.00901,0.00901,0.00901
7,5265.03,0.71984,1.09834,0.93876,0.52336,0.23893,0.19416,0.17202,0.53673,0.77101,0.84344,0.008812,0.008812,0.008812
8,6014.12,0.70774,1.06588,0.93486,0.53066,0.25006,0.20983,0.18654,0.52851,0.74698,0.84077,0.008614,0.008614,0.008614
9,6764.74,0.69803,1.04635,0.93124,0.46074,0.27689,0.25511,0.23012,0.52121,0.71986,0.83686,0.008416,0.008416,0.008416
10,7516.48,0.69107,1.02373,0.92748,0.48948,0.28561,0.27359,0.24671,0.51588,0.70159,0.8347,0.008218,0.008218,0.008218
11,8264.64,0.68211,1.00213,0.92412,0.42241,0.34786,0.29779,0.27042,0.51092,0.68277,0.83278,0.00802,0.00802,0.00802
12,9012.72,0.67502,0.98564,0.92203,0.51517,0.3171,0.32596,0.29735,0.50807,0.66858,0.8318,0.007822,0.007822,0.007822
13,10092,0.67186,0.97309,0.92092,0.51906,0.35163,0.34647,0.3173,0.50531,0.65571,0.83049,0.007624,0.007624,0.007624
14,10859.2,0.6666,0.95919,0.91852,0.5142,0.36465,0.35519,0.32619,0.50228,0.64496,0.8293,0.007426,0.007426,0.007426
15,11623.5,0.66243,0.94609,0.91682,0.53592,0.37098,0.35886,0.32837,0.50021,0.63613,0.82857,0.007228,0.007228,0.007228
16,12394.3,0.65904,0.9382,0.91537,0.5282,0.38702,0.36909,0.3393,0.49814,0.62786,0.82755,0.00703,0.00703,0.00703
17,13158.2,0.65584,0.92537,0.9145,0.53799,0.3909,0.3748,0.34468,0.49663,0.62125,0.8269,0.006832,0.006832,0.006832
18,13922.8,0.65025,0.91391,0.91277,0.53817,0.38739,0.37936,0.34884,0.49533,0.61529,0.8264,0.006634,0.006634,0.006634
19,14688.4,0.64724,0.90602,0.91109,0.54899,0.38977,0.38706,0.35643,0.49432,0.61029,0.82591,0.006436,0.006436,0.006436
20,15447.8,0.64413,0.8951,0.91053,0.55821,0.39635,0.3932,0.36151,0.49349,0.60555,0.82554,0.006238,0.006238,0.006238
21,16217.3,0.63907,0.88451,0.90852,0.56512,0.40027,0.40026,0.36843,0.49255,0.60096,0.82507,0.00604,0.00604,0.00604
22,16977.2,0.63885,0.87862,0.90793,0.57381,0.40957,0.40639,0.37439,0.49159,0.59664,0.82454,0.005842,0.005842,0.005842
23,17736.3,0.63468,0.8688,0.90657,0.58527,0.41342,0.41313,0.38197,0.49071,0.59223,0.82415,0.005644,0.005644,0.005644
24,18493.4,0.63133,0.85649,0.9051,0.59959,0.41495,0.42261,0.39088,0.48983,0.58775,0.82382,0.005446,0.005446,0.005446
